model,posm,posm_name
EWW1123P5WC,CARE_TL,Sticker Made in Thailand UC3
EWW1123P5WC,CARE_WD,Sticker decal Giặt sấy UC3
EWW1123P5WC,CARE_45 NEW,Drum Máy giặt UC3 Fullwash 45 
EWW1123P5WC,CARE_SDA01,Tentcard gia dụng chữ L
EWW1143R7SC,CARE_W7004,Sticker Máy giặt sấy UC3  700 
EWW1143R7SC,CARE_NEW,Sticker Mới UC3
EWW1143R7SC,CARE_TL,Sticker Made in Thailand UC3
EWW1143R7SC,CARE_AI,Sticker AI Wifi UC3
EWW1143R7SC,CARE_WD,Sticker decal Giặt sấy UC3
EWW1143R7SC,CARE_45I,Drum Máy giặt UC3 Fullwash 45 IntelliQuick
EWW1143R7SC,CARE_SDA01,Tentcard gia dụng chữ L
EWW1343R7WC,CARE_W7004,Sticker Máy giặt sấy UC3  700 
EWW1343R7WC,CARE_NEW,Sticker Mới UC3
EWW1343R7WC,CARE_TL,Sticker Made in Thailand UC3
EWW1343R7WC,CARE_AI,Sticker AI Wifi UC3
EWW1343R7WC,CARE_WD,Sticker decal Giặt sấy UC3
EWW1343R7WC,CARE_45I,Drum Máy giặt UC3 Fullwash 45 IntelliQuick
EWW1343R7WC,CARE_SDA01,Tentcard gia dụng chữ L
EDV804H3WC,CARE_D3001,Drum Máy sấy UC3 300 EDV EDS
EDV804H3WC,CARE_D3003,Sticker Máy sấy UC3  300 EDV
EDV804H3WC,CARE_NEW,Sticker Mới UC3
EDV804H3WC,CARE_TL,Sticker Made in Thailand UC3
EDV804H3WC,CARE_DD,Sticker decal Máy sấy UC3
EDV804H3WC,CARE_SDA01,Tentcard gia dụng chữ L
EDV904H3WC,CARE_D3001,Drum Máy sấy UC3 300 EDV EDS
EDV904H3WC,CARE_D3003,Sticker Máy sấy UC3  300 EDV
EDV904H3WC,CARE_NEW,Sticker Mới UC3
EDV904H3WC,CARE_TL,Sticker Made in Thailand UC3
EDV904H3WC,CARE_DD,Sticker decal Máy sấy UC3
EDV904H3WC,CARE_SDA01,Tentcard gia dụng chữ L
EDV904N3SC,CARE_D3001,Drum Máy sấy UC3 300 EDV EDS
EDV904N3SC,CARE_D3003,Sticker Máy sấy UC3  300 EDV
EDV904N3SC,CARE_NEW,Sticker Mới UC3
EDV904N3SC,CARE_TL,Sticker Made in Thailand UC3
EDV904N3SC,CARE_DD,Sticker decal Máy sấy UC3
EDV904N3SC,CARE_SDA01,Tentcard gia dụng chữ L
EDS904H3WC,CARE_D3001,Drum Máy sấy UC3 300 EDV EDS
EDS904H3WC,CARE_D3005,Sticker Máy sấy UC3  300EDS
EDS904H3WC,CARE_NEW,Sticker Mới UC3
EDS904H3WC,CARE_TL,Sticker Made in Thailand UC3
EDS904H3WC,CARE_DD,Sticker decal Máy sấy UC3
EDS904H3WC,CARE_SDA01,Tentcard gia dụng chữ L
EDS904N3SC,CARE_D3001,Drum Máy sấy UC3 300 EDV EDS
EDS904N3SC,CARE_D3005,Sticker Máy sấy UC3  300EDS
EDS904N3SC,CARE_NEW,Sticker Mới UC3
EDS904N3SC,CARE_TL,Sticker Made in Thailand UC3
EDS904N3SC,CARE_DD,Sticker decal Máy sấy UC3
EDS904N3SC,CARE_SDA01,Tentcard gia dụng chữ L
EDH803J5WC,CARE_D5001,Drum Máy sấy UC3 500
EDH803J5WC,CARE_D5003,Sticker Máy sấy UC3  500
EDH803J5WC,CARE_NEW,Sticker Mới UC3
EDH803J5WC,CARE_TL,Sticker Made in Thailand UC3
EDH803J5WC,CARE_DD,Sticker decal Máy sấy UC3
EDH803J5WC,CARE_SDA01,Tentcard gia dụng chữ L
EDH803J5SC,CARE_D5001,Drum Máy sấy UC3 500
EDH803J5SC,CARE_D5003,Sticker Máy sấy UC3  500
EDH803J5SC,CARE_NEW,Sticker Mới UC3
EDH803J5SC,CARE_TL,Sticker Made in Thailand UC3
EDH803J5SC,CARE_DD,Sticker decal Máy sấy UC3
EDH803J5SC,CARE_SDA01,Tentcard gia dụng chữ L
EDH903R7WC,CARE_D9001,Drum Máy sấy UC3 900
EDH903R7WC,CARE_D7003,Sticker Máy sấy UC3  700
EDH903R7WC,CARE_NEW,Sticker Mới UC3
EDH903R7WC,CARE_TL,Sticker Made in Thailand UC3
EDH903R7WC,CARE_DD,Sticker decal Máy sấy UC3
EDH903R7WC,CARE_SDA01,Tentcard gia dụng chữ L
EDH903R7SC,CARE_D9001,Drum Máy sấy UC3 900
EDH903R7SC,CARE_D7003,Sticker Máy sấy UC3  700
EDH903R7SC,CARE_NEW,Sticker Mới UC3
EDH903R7SC,CARE_TL,Sticker Made in Thailand UC3
EDH903R7SC,CARE_DD,Sticker decal Máy sấy UC3
EDH903R7SC,CARE_SDA01,Tentcard gia dụng chữ L
EDH902R9SC,CARE_D9001,Drum Máy sấy UC3 900
EDH902R9SC,CARE_D9003,Sticker Máy sấy UC3  900
EDH902R9SC,CARE_NEW,Sticker Mới UC3
EDH902R9SC,CARE_TL,Sticker Made in Thailand UC3
EDH902R9SC,CARE_DD,Sticker decal Máy sấy UC3
EDH902R9SC,CARE_SDA01,Tentcard gia dụng chữ L
ESF5206LOW,CARE_DW03,Sticker Máy rửa chén lớn
ESF5512LOX,CARE_DW03,Sticker Máy rửa chén lớn
ESF6010BW,CARE_DW04,Sticker Máy rửa chén mini
EFC3862MS,CARE_DW05,Sticker Máy rửa chén Saucer
EFC3862MS,CARE_DW06,Sticker Tự động mở cửa
EQE6879A-B,TASTE_R43,Sticker Ernie_Bên ngoài
EQE6879A-B,TASTE_R44,Sticker Ernie_Waterstream with Autoice
EQE6879A-B,TASTE_R45,Sticker Ernie_Flip up
EQE6879A-B,TASTE_R46,Sticker Ernie_Flexstor
EQE6879A-B,TASTE_R47,Sticker Ernie_Twintech
EQE6879A-B,TASTE_R48,Sticker Ernie_Snackzone
EQE6879A-B,TASTE_R10,Sticker Tasteguard
EQE6879A-B,TASTE_R52,Sticker Ernie_Tastesealflex
EQE6879A-B,TASTE_R50,Sticker  Ngăn đông lớn
EQE6879A-B,TASTE_R08,Sticker TastelockAuto
EQE5660A-B,Taste_R73,Sticker_Wallaby_Outside
EQE5660A-B,Taste_R74,Sticker_Wallaby_4 tính năng
EQE5660A-B,Taste_R72,Sticker TasteLock
EQE5660A-B,Taste_R76,Sticker_Wallaby_3 mức nhiệt
EQE5660A-B,TASTE_R61,Sticker Wallaby_TasteSealPlus
EQE5660A-B,Taste_R67,Sticker làm đá và lấy nước ngoài
EQE5660A-B,TASTE_R63,Sticker Wallaby_Lam da tu dong
EQE5660A-B,Taste_R75,Sticker_Wallaby_bình chứa nước 3.5L
EQE5660A-B,CARE_TL,Sticker Made in Thailand UC3
EQE4900A-A,Taste_R77,Sticker_EQE4900A-A_Outside
EQE4900A-A,Taste_R80,Sticker QuickFreeze
EQE4900A-A,Taste_R68,Sticker Inverter_Eventemp_Tasteguard
EQE4900A-A,Taste_R72,Sticker TasteLock
EQE4960A-B,Taste_R78,Sticker_EQE4960A-B_Outside
EQE4960A-B,Taste_R80,Sticker QuickFreeze
EQE4960A-B,Taste_R68,Sticker Inverter_Eventemp_Tasteguard
EQE4960A-B,Taste_R72,Sticker TasteLock
EQE4960A-B,Taste_R81,Sticker Bình chứa nước 2L
EQE4960A-B,Taste_R66,Sticker lấy nước ngoài
EQE6000A-B,TASTE_R41,Sticker_EQE6000A-B
EQE6000A-B,TASTE_R42,Sticker_EQE6000A-B_TastelockPlus
EQE6000A-B,TASTE_R06,Sticker EvenTemp
EQE6000A-B,TASTE_R07,Sticker Ngăn đá xoay
EQE6000A-B,TASTE_R55,Sticker NutriFresh Inverter
EQE6000A-B,TASTE_R07,Sticker Ngăn đá xoay
EQE6000A-B,TASTE_R10,Sticker Tasteguard
ESE6141A-BVN,TASTE_R39,Sticker SBS_Rau quả tươi giòn
ESE6141A-BVN,TASTE_R40,Sticker SBS_Tastelock
ESE6141A-BVN,TASTE_R06,Sticker EvenTemp
ESE6141A-BVN,TASTE_R07,Sticker Ngăn đá xoay
ESE6141A-BVN,TASTE_R55,Sticker NutriFresh Inverter
ESE6141A-BVN,TASTE_R07,Sticker Ngăn đá xoay
ESE6141A-BVN,TASTE_R10,Sticker Tasteguard
ESE6141A-BVN,TASTE_R11,Sticker WaterStream
ESE6645A-BVN,TASTE_R39,Sticker SBS_Rau quả tươi giòn
ESE6645A-BVN,TASTE_R40,Sticker SBS_Tastelock
ESE6645A-BVN,TASTE_R06,Sticker EvenTemp
ESE6645A-BVN,TASTE_R55,Sticker NutriFresh Inverter
ESE6645A-BVN,Taste_R72,Sticker TasteLock
ESE6645A-BVN,TASTE_R07,Sticker Ngăn đá xoay
ESE6645A-BVN,TASTE_R10,Sticker Tasteguard
ESE6645A-BVN,TASTE_R11,Sticker WaterStream
ESE6600A-AVN,TASTE_R39,Sticker SBS_Rau quả tươi giòn
ESE6600A-AVN,TASTE_R40,Sticker SBS_Tastelock
ESE6600A-AVN,TASTE_R06,Sticker EvenTemp
ESE6600A-AVN,TASTE_R55,Sticker NutriFresh Inverter
ESE6600A-AVN,Taste_R72,Sticker TasteLock
ESE6600A-BVN,TASTE_R39,Sticker SBS_Rau quả tươi giòn
ESE6600A-BVN,TASTE_R40,Sticker SBS_Tastelock
ESE6600A-BVN,TASTE_R06,Sticker EvenTemp
ESE6600A-BVN,TASTE_R55,Sticker NutriFresh Inverter
ESE6600A-BVN,Taste_R72,Sticker TasteLock
EBB3742M-H,Taste_R65,Sticker_Thịt cá tươi ngon_Outside
EBB3742M-H,CARE_TL,Sticker Made in Thailand UC3
EBB3742M-H,Taste_R66,Sticker lấy nước ngoài
EBB3742M-H,Taste_R67,Sticker làm đá và lấy nước ngoài
EBB3742M-H,Taste_R68,Sticker Inverter_Eventemp_Tasteguard
EBB3742M-H,Taste_R69,Sticker làm đá _inside
EBB3742M-H,Taste_R70,Sticker Bình chứa nước 4L
EBB3742M-H,Taste_R71,Sticker TasteSeal
EBB3742M-H,Taste_R72,Sticker TasteLock
ETB3440M-H,Taste_R65,Sticker_Thịt cá tươi ngon_Outside
ETB3440M-H,CARE_TL,Sticker Made in Thailand UC3
ETB3440M-H,Taste_R66,Sticker lấy nước ngoài
ETB3440M-H,Taste_R67,Sticker làm đá và lấy nước ngoài
ETB3440M-H,Taste_R68,Sticker Inverter_Eventemp_Tasteguard
ETB3440M-H,Taste_R69,Sticker làm đá _inside
ETB3440M-H,Taste_R70,Sticker Bình chứa nước 4L
ETB3440M-H,Taste_R71,Sticker TasteSeal
ETB3440M-H,Taste_R72,Sticker TasteLock
ETB3740M-H,Taste_R65,Sticker_Thịt cá tươi ngon_Outside
ETB3740M-H,CARE_TL,Sticker Made in Thailand UC3
ETB3740M-H,Taste_R66,Sticker lấy nước ngoài
ETB3740M-H,Taste_R67,Sticker làm đá và lấy nước ngoài
ETB3740M-H,Taste_R68,Sticker Inverter_Eventemp_Tasteguard
ETB3740M-H,Taste_R69,Sticker làm đá _inside
ETB3740M-H,Taste_R70,Sticker Bình chứa nước 4L
ETB3740M-H,Taste_R71,Sticker TasteSeal
ETB3740M-H,Taste_R72,Sticker TasteLock
ETB3760M-H,Taste_R65,Sticker_Thịt cá tươi ngon_Outside
ETB3760M-H,CARE_TL,Sticker Made in Thailand UC3
ETB3760M-H,Taste_R66,Sticker lấy nước ngoài
ETB3760M-H,Taste_R67,Sticker làm đá và lấy nước ngoài
ETB3760M-H,Taste_R68,Sticker Inverter_Eventemp_Tasteguard
ETB3760M-H,Taste_R69,Sticker làm đá _inside
ETB3760M-H,Taste_R70,Sticker Bình chứa nước 4L
ETB3760M-H,Taste_R71,Sticker TasteSeal
ETB3760M-H,Taste_R72,Sticker TasteLock
EUM0930AD-VN,TASTE_R54,Sticker Mini bar_90L
EUM0930BD-VN,TASTE_R54,Sticker Mini bar_90L
EUM0500AD-VN,TASTE_R53,Sticker Mini bar_45L
E6203IOK,TASTE_I03,Sticker Bếp từ
EHI7260BB,TASTE_I03,Sticker Bếp từ
EHI7280BB,TASTE_I03,Sticker Bếp từ
EIV644,TASTE_I03,Sticker Bếp từ
LIT60336,TASTE_I03,Sticker Bếp từ
LIT60342,TASTE_I03,Sticker Bếp từ
EHG7230BE,TASTE_G06,Sticker Bếp gas âm
EHG7230BE,CARE_SDA01,Tentcard gia dụng chữ L
EHG723BA,TASTE_G06,Sticker Bếp gas âm
EHG723BA,CARE_SDA01,Tentcard gia dụng chữ L
EHG8250BC,TASTE_G06,Sticker Bếp gas âm
EHG8250BC,CARE_SDA01,Tentcard gia dụng chữ L
EHG8251BC,TASTE_G06,Sticker Bếp gas âm
EHG8251BC,CARE_SDA01,Tentcard gia dụng chữ L
EHG8321BC,TASTE_G06,Sticker Bếp gas âm
EHG8321BC,CARE_SDA01,Tentcard gia dụng chữ L
ETG7256GKR,TASTE_G06,Sticker Bếp gas âm
ETG7256GKR,CARE_SDA01,Tentcard gia dụng chữ L
ETG7266GKR,TASTE_G06,Sticker Bếp gas âm
ETG7266GKR,CARE_SDA01,Tentcard gia dụng chữ L
ETG7286GKR,TASTE_G06,Sticker Bếp gas âm
ETG7286GKR,CARE_SDA01,Tentcard gia dụng chữ L
EOT3218XG,TASTE_O01,Sticker Lò nướng để bàn
EOT3218XG,TASTE_M01,Sticker LVS đa chức năng
EOT4022XFG,TASTE_O01,Sticker Lò nướng để bàn
EOT4022XFG,TASTE_M01,Sticker LVS đa chức năng
EOT40DBD,TASTE_O01,Sticker Lò nướng để bàn
EOT40DBD,TASTE_M01,Sticker LVS đa chức năng
EOT5622XFG,TASTE_O01,Sticker Lò nướng để bàn
EOT5622XFG,TASTE_M01,Sticker LVS đa chức năng
KOIGH00KA,TASTE_O01,Sticker Lò nướng để bàn
RZB2110AAXA,TASTE_O01,Sticker Lò nướng để bàn
EMG20K22B,TASTE_M02,Sticker LVS kết hợp nướng
EMG20K22B,TASTE_SDA11,Tentcard lò vi sóng DMX
EMG23D22B,TASTE_M02,Sticker LVS kết hợp nướng
EMG23D22B,TASTE_SDA11,Tentcard lò vi sóng DMX
EMG23K22B,TASTE_M02,Sticker LVS kết hợp nướng
EMG23K22B,TASTE_SDA11,Tentcard lò vi sóng DMX
EMG25D22BM,TASTE_M02,Sticker LVS kết hợp nướng
EMG25D22BM,TASTE_SDA11,Tentcard lò vi sóng DMX
EMG30D22BM,TASTE_M02,Sticker LVS kết hợp nướng
EMG30D22BM,TASTE_SDA11,Tentcard lò vi sóng DMX
EMM20D38GB,TASTE_M01,Sticker LVS đa chức năng
EMM20D38GB,TASTE_SDA11,Tentcard lò vi sóng DMX
EMM20K22B,TASTE_M01,Sticker LVS đa chức năng
EMM20K22B,TASTE_SDA11,Tentcard lò vi sóng DMX
EMM20K22W,TASTE_M01,Sticker LVS đa chức năng
EMM20K22W,TASTE_SDA11,Tentcard lò vi sóng DMX
EMM23D22B,TASTE_M01,Sticker LVS đa chức năng
EMM23D22B,TASTE_SDA11,Tentcard lò vi sóng DMX
EMM23K22B,TASTE_M01,Sticker LVS đa chức năng
EMM23K22B,TASTE_SDA11,Tentcard lò vi sóng DMX
KFVB19K,TASTE_H01,Sticker Hút mùi
LFP216S,TASTE_H01,Sticker Hút mùi
LFT769X,TASTE_H01,Sticker Hút mùi
ECP9541X,TASTE_H01,Sticker Hút mùi
EFC736GAR,TASTE_H01,Sticker Hút mùi
EFC936GAR,TASTE_H01,Sticker Hút mùi
EFP6520X,TASTE_H01,Sticker Hút mùi
EFT6032K,TASTE_H01,Sticker Hút mùi
ERF715SBA,TASTE_H01,Sticker Hút mùi
ERF726SBA,TASTE_H01,Sticker Hút mùi
FA31-202GY,WB_AP01,Sticker_Lọc khong khí A3 A4
FA41-402GY,WB_AP01,Sticker_Lọc khong khí A3 A4
PA91-406GY,WB_AP02,Sticker_Loc khong khi A9
PA91-606DG,WB_AP02,Sticker_Loc khong khi A9
EP32-25UGA,WB_AP25,WB_AP25 Topper giấy
EP53-46UGA,WB_AP46,WB_AP46 Topper giấy
EC31-2BB,WB_VC01,Máy hút bụi EC
EC41-2DB,WB_VC01,Máy hút bụi EC
EC41-6CR,WB_VC01,Máy hút bụi EC
WQ61-1EDBF,WB_VC03,Máy hút bụi Không dây
WQ71-2BSWF,WB_VC03,Máy hút bụi Không dây
Z1220,WB_VC03,Máy hút bụi Không dây
Z1230,WB_VC03,Máy hút bụi Không dây
Z1231,WB_VC03,Máy hút bụi Không dây
ZB3314AK,WB_VC03,Máy hút bụi Không dây
ZB6214IGM,WB_VC03,Máy hút bụi Không dây
EFP31315,WB_VC03,Máy hút bụi Không dây
EWE451KB-DWG2,WB_WH04,WH - Nhiệt độ ổn định (em bé và mẹ)
EWE451LB-DPX2,WB_WH04,WH - Nhiệt độ ổn định (em bé và mẹ)
EWE451KX-DWB2,WB_WH04,WH - Nhiệt độ ổn định (em bé và mẹ)
EWE451GX-DWB,WB_WH04,WH - Nhiệt độ ổn định (em bé và mẹ)
EWE451GX-DWR,WB_WH04,WH - Nhiệt độ ổn định (em bé và mẹ)
EWE451QX-W4,WB_WH500,Máy tắm nóng UH500
EWE451QB-W4,WB_WH500,Máy tắm nóng UH500
EWE451RB-G6,WB_WH700,Máy tắm nóng UH700
EWE451RB-G6,WB_WH9003,Sticker bơm trợ lực
EWE451SB-G6,WB_WH9001,Máy tắm nóng UH900
EWE451SB-G6,WB_WH9002,Decal nhiệt độ máy tắm nóng UH900
EWE451SB-G6,WB_WH9003,Sticker bơm trợ lực
EDH12TRBD2,WB_DH01,Máy hút ẩm 20L EDH10TRBW1
EDH10TRBW1,WB_DH02,Máy hút ẩm 24L 27L EDH12TRBD2
EDH14TRBD2,WB_DH02,Máy hút ẩm 24L 27L EDH12TRBD2
EDBMFACWF,WB_WD01,Sticker bình nước nóng lạnh
ETD29MKB,CARE_SDA01,Tentcard gia dụng chữ L
ETD29MKC,CARE_SDA01,Tentcard gia dụng chữ L
ETD42SKA,CARE_SDA01,Tentcard gia dụng chữ L
ETD42SKR,CARE_SDA01,Tentcard gia dụng chữ L
ETD42SKS,CARE_SDA01,Tentcard gia dụng chữ L
ESI4017,CARE_SDA01,Tentcard gia dụng chữ L
ESI5116,CARE_SDA01,Tentcard gia dụng chữ L
EDI1004,CARE_SDA01,Tentcard gia dụng chữ L
EDI2004,CARE_SDA01,Tentcard gia dụng chữ L
E6AF1-220K,CARE_SDA01,Tentcard gia dụng chữ L
E6AF1-520K,CARE_SDA01,Tentcard gia dụng chữ L
E7RC1-650K,CARE_SDA01,Tentcard gia dụng chữ L
E7RC1-550K,CARE_SDA01,Tentcard gia dụng chữ L
E4RC1-350B,CARE_SDA01,Tentcard gia dụng chữ L
E4RC1-320P,CARE_SDA01,Tentcard gia dụng chữ L
ETTG1-40BK,CARE_SDA01,Tentcard gia dụng chữ L
E2TS1-100W,CARE_SDA01,Tentcard gia dụng chữ L
ETS3505,CARE_SDA01,Tentcard gia dụng chữ L
EHM3407,CARE_SDA01,Tentcard gia dụng chữ L
EEK1303K,CARE_SDA01,Tentcard gia dụng chữ L
E2EK1-100W,CARE_SDA01,Tentcard gia dụng chữ L
EEK3505,CARE_SDA01,Tentcard gia dụng chữ L
E7TB1-50CW,CARE_SDA01,Tentcard gia dụng chữ L
E7CB1-86SM,CARE_SDA01,Tentcard gia dụng chữ L
E5GS1 - 4MN,CARE_SDA01,Tentcard gia dụng chữ L
EMSB30XCF,TASTE_SDA11,Tentcard lò vi sóng DMX
EMSB30XCF,TASTE_M02,Sticker LVS kết hợp nướng
EOT38MXC,TASTE_O01,Sticker Lò nướng để bàn
ESTM5417S,CARE_SDA01,Tentcard gia dụng chữ L
